title,year,certificate,duration,genre,rating,description,stars,votes,ID,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type,Directors,Genres,Country,Language,Runtime,primary_genre
Jim Gaffigan: Mr. Universe,(2012 TV Special),Unrated,78 min,Comedy,7.7,"Jim Gaffigan does it again with his new stand-up Mr. Universe. Gaffigan jumps from topic to topic joking around with a varied number of topics. Some of the topics included are McDonalds, family, Disney World, and much more.","['Jay Karas', '| ', '    Star:', 'Jim Gaffigan']","3,550",1047,2012,,7.8,,1.0,0,0,0,0,Jay Karas,"Documentary,Comedy",United States,English,78.0,Documentary
The Mars Generation,(2017),,97 min,Documentary,6.5,Aspiring teenage astronauts reveal that a journey to Mars is closer than you think.,"['Michael Barnett', '| ', '    Stars:', 'Elsa Shiju, ', 'Bob Behnken, ', 'Alayna Bidlack, ', 'Niko Blanks']","1,006",2291,2017,,6.4,,1.0,0,0,0,0,Michael Barnett,Documentary,United States,,97.0,Documentary
Dust Up,(2012),Unrated,94 min,"Action, Adventure, Comedy",4.8,A former vigilante who has embraced his peaceful nature comes to the aid of a young mother in trouble with a cannibalistic drug lord.,"['Ward Roberts', '| ', '    Stars:', 'Amber Benson, ', 'Jeremiah Birkett, ', 'Aaron Gaffey, ', 'Devin Barry']",329,11978,2012,,4.9,,0.0,0,1,0,0,Isaac Florentine,"Action,Crime,Thriller",United States,"English,Spanish",80.0,Action
Tig Notaro: Happy To Be Here,(2018 TV Special),TV-14,58 min,Comedy,6.6,Comedian Tig Notaro performs a stand-up set at the historic Heights Theater in Houston.,"['Tig Notaro', '| ', '    Stars:', 'Indigo Girls, ', 'Tig Notaro, ', 'Amy Ray, ', 'Emily Saliers']","1,379",2005,2018,16+,6.6,,1.0,0,0,0,0,Tig Notaro,Comedy,United States,English,58.0,Comedy
Los Tigres del Norte at Folsom Prison,(2019 TV Special),,64 min,"Documentary, Music",7.0,The band Los Tigres del Norte visit both the male and female inmates of Folsom Prison. Inmates share their stories and how the music of Los Tigres del Norte speaks to them.,"['Tom Donahue', '| ', '    Star:', 'Los Tigres del Norte']",179,2967,2019,,6.9,,1.0,0,0,0,0,Tom Donahue,"Documentary,Music",United States,Spanish,64.0,Documentary
Rich Kids,(2018),,96 min,Drama,6.1,"A group of troubled teens from a low-income community break into ""Los Ricos"", the local mansion with a border fence, and spend the day pretending to be rich in order to forget their difficult lives.","['Laura Somers', '| ', '    Stars:', 'Gerardo M Velasquez, ', 'Justin Rodriguez, ', 'Michelle Magallon, ', 'Ulysses Montoya']",127,3291,2018,,6.8,,1.0,0,0,0,0,Laura Somers,Drama,United States,"English,Spanish",96.0,Drama
Marc Maron: End Times Fun,(2020 TV Special),,71 min,Comedy,6.8,"Marc Maron wades through a swamp of vitamin hustlers, evangelicals and grown male nerd children, culminating in a gleefully filthy end times fantasy.","['Lynn Shelton', '| ', '    Star:', 'Marc Maron']","1,969",1249,2020,,6.8,80%,1.0,0,0,0,0,Lynn Shelton,"Documentary,Comedy",United States,English,71.0,Documentary
Operações Especiais,(2015),,99 min,"Action, Crime",6.3,A group of honest police is sent to a country town to solve the problem of high crime. Soon they solve the problem while newcomer Francis (Cléo Pires) must overcome their limits to prove ...                See full summary »,"['Tomas Portella', '| ', '    Stars:', 'Cleo, ', 'Fabrício Boliveira, ', 'Thiago Martins, ', 'Marcos Caruso']","1,672",1874,2015,,6.4,,1.0,0,0,0,0,Keoni Waxman,"Action,Thriller",United States,English,98.0,Action
Dragons: Rescue Riders: Hunt for the Golden Dragon,(2020 TV Special),TV-Y,46 min,"Animation, Action, Adventure",5.1,"The Rescue Riders have been asked to find a precious golden dragon egg, and keep it safe from evil pirates.","['Greg Rankin, ', 'T.J. Sullivan', '| ', '    Stars:', 'Noah Kaye Bentley, ', 'Brennley Brown, ', 'Zach Callison, ', 'Nicolas Cantu']",158,2221,2020,,6.1,,1.0,0,0,0,0,"Greg Rankin,T.J. Sullivan","Animation,Adventure",United States,English,46.0,Animation
Know Your Enemy - Japan,(1945),Not Rated,63 min,"Documentary, History, War",6.0,A comprehensive look at the war in the Pacific during World War II. Shot as a propaganda film by acclaimed Hollywood director Frank Capra,"['Frank Capra, ', 'Joris Ivens', '| ', '    Stars:', 'John Beal, ', 'Howard Duff, ', 'Walter Huston, ', 'Knox Manning']",800,2737,1945,,5.9,,1.0,0,0,0,0,"Frank Capra,Joris Ivens","Documentary,History,War",United States,English,63.0,Documentary
