title,rating,Runtime
Ball and Chain,4.6,
Bad Day for the Cut,6.5,99.0
Morris from America,6.3,91.0
The Seven Deadly Sins: Prisoners of the Sky,7.1,99.0
Black Snow,6.2,90.0
Dead Kids,5.4,105.0
Chandni Bar,7.6,150.0
Struggle: The Life and Lost Art of Szukalski,7.9,115.0
A Plastic Ocean,7.9,102.0
Dave Chappelle: Equanimity,8.1,64.0
Taylor Tomlinson: Quarter-Life Crisis,7.4,61.0
Bon Cop Bad Cop 2,6.6,126.0
Yucatán,5.5,129.0
Tactical Force,4.7,91.0
The Gospel of John,7.7,180.0
The Man Without Gravity,5.8,107.0
Murder to Mercy: The Cyntoia Brown Story,6.3,96.0
They'll Love Me When I'm Dead,7.4,98.0
The Door,6.9,96.0
Seven in Heaven,5.3,94.0
Light in the Dark,5.6,105.0
Brené Brown: The Call to Courage,7.7,76.0
Cities of Last Things,6.2,106.0
Zach Galifianakis: Live at the Purple Onion,7.2,72.0
Godzilla: City on the Edge of Battle,5.8,101.0
Temple,3.6,
Laddaland,6.2,113.0
Danur,5.3,74.0
Manson Family Vacation,5.8,84.0
Abzurdah,5.4,89.0
Death Clique,5.4,83.0
Full Count,5.6,110.0
Travis Scott: Look Mom I Can Fly,6.3,84.0
Alice in Wonderland,7.4,108.0
Amy Schumer: The Leather Special,3.1,57.0
Naked Among Wolves,7.2,105.0
1920,6.4,138.0
Consent,5.8,87.0
The Secrets of Emily Blair,4.1,95.0
The Bleeding Edge,7.6,99.0
The Rachel Divide,6.3,100.0
Aliens on the Moon: The Truth Exposed,3.4,86.0
Misfit,4.3,82.0
The Present,7.6,85.0
Darc,5.8,97.0
Little Boxes,5.9,84.0
Trixie Mattel: Moving Parts,7.3,91.0
My Perfect Romance,4.6,91.0
Detention,6.3,95.0
Hasan Minhaj: Homecoming King,8.2,73.0
The Killer Is Loose,6.6,73.0
The Journey Is the Destination,6.3,123.0
Skew,4.4,83.0
Phobia 2,6.6,125.0
Bert Kreischer: The Machine,7.6,70.0
Shepherds and Butchers,6.8,106.0
The Last Word,7.0,92.0
Monty Python: The Meaning of Live,7.6,90.0
X: Past Is Present,5.2,105.0
Rajma Chawal,5.7,117.0
Deuces,5.8,87.0
Mostly Sunny,5.4,83.0
Bhangra Paa Le,6.2,131.0
Ungli,5.8,114.0
Our Godfather,6.8,92.0
Bill Burr: I'm Sorry You Feel That Way,8.2,80.0
I Do,6.4,79.0
River's Edge,6.2,99.0
A Land Imagined,6.2,95.0
Keith Richards: Under the Influence,7.1,81.0
League of Legends Origins,6.5,77.0
Boi,5.0,110.0
Champion,6.6,130.0
Godzilla: Planet of the Monsters,6.0,89.0
Taylor Swift: Reputation Stadium Tour,8.4,125.0
Hot Gimmick: Girl Meets Boy,4.4,119.0
Pickpockets,5.4,108.0
The Ape,5.9,100.0
